category,item,spec,qty,unit_price_jpy,subtotal_jpy,mass_g_each,on_robot_g,notes
servo,MG92B,metal gear / ~3.1kgf-cm @6V / 13.8g,3,900,2700,13.8,27.6,"KNEES ONLY (2 + 1 spare). Same 22.8x12.2 footprint as MG90S, +0.4g, ~45% more torque. Moves the mass budget from 205g to 245g -- cheaper than any airframe diet. PROVISIONAL SPEC: bench-measure before trusting."
servo,MG90S,metal gear / 2.2kgf-cm @6V / 13.4g,8,350,2800,13.4,80.4,"6 used (hip roll x2, hip pitch x2, ankle x2) + 2 spare. Buy one lot; clones vary."
servo,micro servo 3.7g,~0.06Nm / 20x8.4x20mm,3,600,1800,3.7,7.4,"2 used (neck_pitch, head_yaw) + 1 spare. head_yaw is the binding joint at 76%."
compute,ESP32-S3-MINI-1-N8,8MB flash / no PSRAM,2,900,1800,1.0,1.0,"Module, not a devkit: a devkit is 8g of USB connector and headers we do not need. No PSRAM because the policy is quantised to int8 (193KB) and lives in internal SRAM."
compute,custom control PCB,40x30mm 2-layer,1,3000,3000,11.0,11.0,"Carries the ESP32-S3-MINI, PCA9685, MCP3208, 6V BEC, IMU and the 10 pot dividers. One board instead of five breakouts saves ~15g and most of the wiring."
driver,PCA9685,16ch 12-bit PWM I2C (bare IC),2,300,600,0.2,0.2,"10 servos; ESP32-S3 LEDC has only 8 channels."
sensing,MCP3208,12-bit 8ch SPI ADC 100kSPS,2,400,800,0.3,0.3,"10 pot-tap channels needs 2. ADS1115 at 860 SPS is far too slow -- do not substitute."
sensing,ICM-42688-P,6-axis IMU SPI (bare IC),2,1500,3000,0.1,0.1,"Only gyro(3) + accel(3) are in the observation. MPU-6050 works for v1 if cost matters."
power,LiPo 2S 450mAh LiHV,7.4V 30C ~28g,2,1600,3200,28.0,28.0,"~19 min walking at ~1.5A. 850mAh is +20g and costs 4 points of joint margin -- see README 5."
power,switching BEC 6V 6A,,1,1200,1200,10.0,0.0,"Only if not integrating the BEC on the PCB. 5A is NOT enough: 8 servos stalling is ~5.6A."
power,XT30 connector pair,,2,150,300,2.0,2.0,
power,electrolytic 470uF 16V,low ESR,2,60,120,1.5,3.0,"Across the servo rail, at the board."
sensing,resistor 100k 1%,0603,30,3,90,0.01,0.3,"Pot dividers, 2 per channel. NOT lower: loading the 5k pot shifts the servo."
sensing,capacitor 10nF,0603,15,3,45,0.01,0.15,"ADC anti-alias. NOT 1uF: 50ms time constant would break 50Hz control."
wiring,silicone wire 26AWG,servo power,2,400,800,,5.0,
wiring,ribbon + JST-SH assortment,signal,1,800,800,,3.0,
mech,bearing MR63ZZ,3x6x2.5mm,12,120,1440,0.4,4.0,"MG90S output shaft is single-sided; every joint needs an idler bearing opposite the horn."
mech,carbon rod 3mm,for the shin,1,500,500,,2.0,
mech,M2 screw assortment,6/8/10mm + nuts,1,1200,1200,,6.0,
mech,PETG filament,1kg,1,2500,2500,,33.0,"~33g printed: trunk shell 10, 8 joint brackets 12, feet 7, head/neck 4. Building the geometry turned up brackets the first round-number estimate missed. PETG over PLA: the joints see real load."
,,,,PURCHASE TOTAL,28695,,,"Includes spares. Servo cost ~7300 JPY vs ~63000 for 14 XL330."
,,,,ON-ROBOT MASS,,,196.4,"Matches sim/nanoduck.xml exactly -- the model is the authority on mass. Worst joint: knee at 62%, comfortably under the 76% MicroDuck's own knee runs at."
